k_subset,language,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,Chinese (Traditional),guardreasoner,48,48,47,0,1,0.9791666666666666,0.0,0.020833333333333332,48,0,43,4,5,0,0,0.9148936170212766,1.0,0.8958333333333334,0.9148936170212766,0.9555555555555556,0.10416666666666667,0.0851063829787234,,,,,,,,,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),llamaguard3,48,48,48,0,0,1.0,0.0,0.0,48,0,16,32,32,0,0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),llamaguard_permissive,48,48,48,0,0,1.0,0.0,0.0,48,0,15,33,33,0,0,0.3125,1.0,0.3125,0.3125,0.47619047619047616,0.6875,0.6875,,,,0.6216294628878435,0.6075629889965057,0.07824563042566139,0.4167080810293555,0.4073334336280823,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),mdjudge,48,48,48,0,0,1.0,0.0,0.0,48,0,0,48,48,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9951609931886196,0.9967774748802185,0.0047040290984270905,0.0048390033280156786,0.0032224839087575674,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),nemotron,48,48,48,0,0,1.0,0.0,0.0,48,0,24,24,24,0,0,0.5,1.0,0.5,0.5,0.6666666666666666,0.5,0.5,,,,,,,,,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),qwen3guard_gen,48,48,48,0,0,1.0,0.0,0.0,48,0,36,12,12,0,0,0.75,1.0,0.75,0.75,0.8571428571428571,0.25,0.25,,,,,,,,,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),shieldgemma,48,48,48,0,0,1.0,0.0,0.0,48,0,7,41,41,0,0,0.14583333333333334,1.0,0.14583333333333334,0.14583333333333334,0.2545454545454546,0.8541666666666666,0.8541666666666666,,,,0.9439290364583334,0.9921875,0.08878959792837159,0.14540267984072366,0.0063018798828125,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),wildguard,48,48,48,0,0,1.0,0.0,0.0,48,0,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Chinese (Traditional),xguard,48,48,48,0,0,1.0,0.0,0.0,48,0,24,24,24,0,0,0.5,1.0,0.5,0.5,0.6666666666666666,0.5,0.5,,,,,,,,,0.8581470182786385,0.8734253197908401,0.10667265956375571,42.583333333333336,42.0,16.74824008961213
1,Croatian,aprielguard,55,55,55,0,0,1.0,0.0,0.0,55,0,28,27,27,0,0,0.509090909090909,1.0,0.509090909090909,0.509090909090909,0.6746987951807228,0.4909090909090909,0.4909090909090909,,,,,,,,,0.8894150392575697,0.9028233885765076,0.05794370336324726,53.41818181818182,44.0,38.18022122682493
