k_subset,category,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,Controlled/Regulated Substances,aprielguard,312,93,312,0,0,1.0,0.0,0.0,312,0,155,157,157,0,0,0.4967948717948718,1.0,0.4967948717948718,0.4967948717948718,0.6638115631691649,0.5032051282051282,0.5032051282051282,,,,,,,,,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,crest,312,93,312,0,0,1.0,0.0,0.0,312,0,239,73,73,0,0,0.7660256410256411,1.0,0.7660256410256411,0.7660256410256411,0.8675136116152451,0.23397435897435898,0.23397435897435898,,,,0.8187224559294872,0.875,0.15242139539177005,0.7129720052083334,0.818359375,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,gpt_oss_safeguard,281,92,0,205,76,0.0,0.7295373665480427,0.2704626334519573,281,0,0,0,281,0,0,,,0.0,,,1.0,,,,,,,,,,0.9008991358755322,0.9130257666110992,0.05642384685503735,41.661921708185055,36.0,24.917641667979908
1,Controlled/Regulated Substances,guardreasoner,312,93,309,0,3,0.9903846153846154,0.0,0.009615384615384616,312,0,187,122,125,0,0,0.6051779935275081,1.0,0.5993589743589743,0.6051779935275081,0.7540322580645161,0.40064102564102566,0.3948220064724919,,,,,,,,,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,llamaguard3,312,93,312,0,0,1.0,0.0,0.0,312,0,147,165,165,0,0,0.47115384615384615,1.0,0.47115384615384615,0.47115384615384615,0.6405228758169934,0.5288461538461539,0.5288461538461539,,,,,,,,,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,llamaguard_permissive,312,93,312,0,0,1.0,0.0,0.0,312,0,16,296,296,0,0,0.05128205128205128,1.0,0.05128205128205128,0.05128205128205128,0.09756097560975609,0.9487179487179487,0.9487179487179487,,,,0.6672711544311963,0.6513549089431763,0.08947647350153225,0.33600745187738,0.3486451506614685,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,mdjudge,312,93,312,0,0,1.0,0.0,0.0,312,0,0,312,312,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9975380908984405,0.9991507530212402,0.0032863193601873316,0.0024619050862104185,0.0008492456981912255,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,nemotron,312,93,312,0,0,1.0,0.0,0.0,312,0,136,176,176,0,0,0.4358974358974359,1.0,0.4358974358974359,0.4358974358974359,0.6071428571428571,0.5641025641025641,0.5641025641025641,,,,,,,,,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,qwen3guard_gen,312,93,312,0,0,1.0,0.0,0.0,312,0,221,91,91,0,0,0.7083333333333334,1.0,0.7083333333333334,0.7083333333333334,0.8292682926829268,0.2916666666666667,0.2916666666666667,,,,,,,,,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,shieldgemma,312,93,312,0,0,1.0,0.0,0.0,312,0,86,226,226,0,0,0.27564102564102566,1.0,0.27564102564102566,0.27564102564102566,0.43216080402010054,0.7243589743589743,0.7243589743589743,,,,0.8528270232371795,0.88671875,0.15089229030920331,0.2775116318311447,0.140625,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,wildguard,312,93,312,0,0,1.0,0.0,0.0,312,0,302,10,10,0,0,0.967948717948718,1.0,0.967948717948718,0.967948717948718,0.9837133550488599,0.03205128205128205,0.03205128205128205,,,,0.9670597956730769,1.0,0.0913690517733369,0.9524637858072916,1.0,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Controlled/Regulated Substances,xguard,312,93,312,0,0,1.0,0.0,0.0,312,0,122,190,190,0,0,0.391025641025641,1.0,0.391025641025641,0.391025641025641,0.5622119815668203,0.6089743589743589,0.6089743589743589,,,,,,,,,0.9020506578187147,0.91359843313694,0.05619716399686729,41.24038461538461,36.0,24.812672519027103
1,Copyright/Trademark/Plagiarism,aprielguard,289,13,289,0,0,1.0,0.0,0.0,289,0,130,159,159,0,0,0.44982698961937717,1.0,0.44982698961937717,0.44982698961937717,0.6205250596658711,0.5501730103806228,0.5501730103806228,,,,,,,,,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,crest,289,13,289,0,0,1.0,0.0,0.0,289,0,238,51,51,0,0,0.8235294117647058,1.0,0.8235294117647058,0.8235294117647058,0.9032258064516129,0.17647058823529413,0.17647058823529413,,,,0.7899545847750865,0.83203125,0.15779048272330617,0.743933654573962,0.82421875,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,gpt_oss_safeguard,247,13,5,178,64,0.020242914979757085,0.7206477732793523,0.2591093117408907,247,0,5,0,242,0,0,1.0,1.0,0.020242914979757085,1.0,1.0,0.979757085020243,0.0,,,,,,,,,0.8734651277301765,0.8892922103404999,0.07222873033463703,61.85425101214575,42.0,38.42714323946672
1,Copyright/Trademark/Plagiarism,guardreasoner,289,13,284,0,5,0.9826989619377162,0.0,0.01730103806228374,289,0,163,121,126,0,0,0.573943661971831,1.0,0.5640138408304498,0.573943661971831,0.7293064876957495,0.4359861591695502,0.426056338028169,,,,,,,,,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,llamaguard3,289,13,289,0,0,1.0,0.0,0.0,289,0,45,244,244,0,0,0.15570934256055363,1.0,0.15570934256055363,0.15570934256055363,0.2694610778443114,0.8442906574394463,0.8442906574394463,,,,,,,,,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,llamaguard_permissive,289,13,289,0,0,1.0,0.0,0.0,289,0,21,268,268,0,0,0.0726643598615917,1.0,0.0726643598615917,0.0726643598615917,0.13548387096774195,0.9273356401384083,0.9273356401384083,,,,0.6657451337596537,0.6513549089431763,0.09185543128102432,0.3399353910585588,0.3486451506614685,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,mdjudge,289,13,289,0,0,1.0,0.0,0.0,289,0,0,289,289,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9981482637382296,0.9993687272071838,0.002785494782382949,0.0018517330056408848,0.0006312434561550617,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,nemotron,289,13,289,0,0,1.0,0.0,0.0,289,0,106,183,183,0,0,0.36678200692041524,1.0,0.36678200692041524,0.36678200692041524,0.5367088607594936,0.6332179930795848,0.6332179930795848,,,,,,,,,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,qwen3guard_gen,289,13,289,0,0,1.0,0.0,0.0,289,0,185,104,104,0,0,0.6401384083044983,1.0,0.6401384083044983,0.6401384083044983,0.7805907172995781,0.35986159169550175,0.35986159169550175,,,,,,,,,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,shieldgemma,289,13,289,0,0,1.0,0.0,0.0,289,0,1,288,288,0,0,0.0034602076124567475,1.0,0.0034602076124567475,0.0034602076124567475,0.006896551724137931,0.9965397923875432,0.9965397923875432,,,,0.9702503243944637,0.9921875,0.065981381367811,0.030630443335404444,0.006683349609375,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,wildguard,289,13,289,0,0,1.0,0.0,0.0,289,0,286,3,3,0,0,0.9896193771626297,1.0,0.9896193771626297,0.9896193771626297,0.994782608695652,0.010380622837370242,0.010380622837370242,,,,0.9927281574394463,1.0,0.03998242923995261,0.983973730806661,1.0,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Copyright/Trademark/Plagiarism,xguard,289,13,289,0,0,1.0,0.0,0.0,289,0,89,200,200,0,0,0.3079584775086505,1.0,0.3079584775086505,0.3079584775086505,0.4708994708994709,0.6920415224913494,0.6920415224913494,,,,,,,,,0.8728547033863496,0.8858287334442139,0.07147328778361463,63.878892733564015,52.0,40.14854195349971
1,Criminal Planning/Confessions,aprielguard,313,185,313,0,0,1.0,0.0,0.0,313,0,179,134,134,0,0,0.5718849840255591,1.0,0.5718849840255591,0.5718849840255591,0.7276422764227642,0.4281150159744409,0.4281150159744409,,,,,,,,,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,crest,313,185,313,0,0,1.0,0.0,0.0,313,0,269,44,44,0,0,0.8594249201277955,1.0,0.8594249201277955,0.8594249201277955,0.9243986254295532,0.14057507987220447,0.14057507987220447,,,,0.8389202276357828,0.91015625,0.15716169454254264,0.791087385183706,0.90234375,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,gpt_oss_safeguard,281,170,1,199,81,0.0035587188612099642,0.708185053380783,0.28825622775800713,281,0,1,0,280,0,0,1.0,1.0,0.0035587188612099642,1.0,1.0,0.99644128113879,0.0,,,,,,,,,0.907486313178446,0.9235283732414246,0.05403515517551021,51.288256227758005,46.0,25.36192669883284
1,Criminal Planning/Confessions,guardreasoner,313,185,310,0,3,0.9904153354632588,0.0,0.009584664536741214,313,0,202,108,111,0,0,0.6516129032258065,1.0,0.645367412140575,0.6516129032258065,0.7890625,0.3546325878594249,0.34838709677419355,,,,,,,,,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,llamaguard3,313,185,313,0,0,1.0,0.0,0.0,313,0,209,104,104,0,0,0.6677316293929713,1.0,0.6677316293929713,0.6677316293929713,0.8007662835249042,0.33226837060702874,0.33226837060702874,,,,,,,,,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,llamaguard_permissive,313,185,313,0,0,1.0,0.0,0.0,313,0,42,271,271,0,0,0.134185303514377,1.0,0.134185303514377,0.134185303514377,0.23661971830985915,0.865814696485623,0.865814696485623,,,,0.6604826657916791,0.6513549089431763,0.0904677069360835,0.35423364661657775,0.3486451506614685,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,mdjudge,313,185,313,0,0,1.0,0.0,0.0,313,0,0,313,313,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.997090815736082,0.9989182949066162,0.0038465705750285583,0.0029091818997199043,0.0010817153379321098,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,nemotron,313,185,313,0,0,1.0,0.0,0.0,313,0,166,147,147,0,0,0.5303514376996805,1.0,0.5303514376996805,0.5303514376996805,0.6931106471816284,0.4696485623003195,0.4696485623003195,,,,,,,,,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,qwen3guard_gen,313,185,313,0,0,1.0,0.0,0.0,313,0,239,74,74,0,0,0.7635782747603834,1.0,0.7635782747603834,0.7635782747603834,0.8659420289855073,0.2364217252396166,0.2364217252396166,,,,,,,,,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
1,Criminal Planning/Confessions,shieldgemma,313,185,313,0,0,1.0,0.0,0.0,313,0,43,270,270,0,0,0.13738019169329074,1.0,0.13738019169329074,0.13738019169329074,0.24157303370786515,0.8626198083067093,0.8626198083067093,,,,0.8928090055910544,0.9765625,0.14827945862020975,0.14959402358570037,0.02294921875,0.9063452673605836,0.923127681016922,0.05395117278883348,51.284345047923324,46.0,24.89617500295972
