k_subset,quality_bucket,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,gold,aprielguard,300,143,300,0,0,1.0,0.0,0.0,300,0,70,230,230,0,0,0.23333333333333334,1.0,0.23333333333333334,0.23333333333333334,0.37837837837837834,0.7666666666666667,0.7666666666666667,,,,,,,,,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,crest,300,143,300,0,0,1.0,0.0,0.0,300,0,171,129,129,0,0,0.57,1.0,0.57,0.57,0.7261146496815287,0.43,0.43,,,,0.717578125,0.689453125,0.15216610483403545,0.5595023600260417,0.55078125,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,gpt_oss_safeguard,261,133,1,186,74,0.0038314176245210726,0.7126436781609196,0.2835249042145594,261,0,1,0,260,0,0,1.0,1.0,0.0038314176245210726,1.0,1.0,0.9961685823754789,0.0,,,,,,,,,0.9959800205696588,1.0000004768371582,0.011741942336062261,34.62452107279694,31.0,17.38934278683953
1,gold,guardreasoner,300,143,300,0,0,1.0,0.0,0.0,300,0,148,152,152,0,0,0.49333333333333335,1.0,0.49333333333333335,0.49333333333333335,0.6607142857142857,0.5066666666666667,0.5066666666666667,,,,,,,,,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,llamaguard3,300,143,300,0,0,1.0,0.0,0.0,300,0,64,236,236,0,0,0.21333333333333335,1.0,0.21333333333333335,0.21333333333333335,0.3516483516483517,0.7866666666666666,0.7866666666666666,,,,,,,,,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,llamaguard_permissive,300,143,300,0,0,1.0,0.0,0.0,300,0,14,286,286,0,0,0.04666666666666667,1.0,0.04666666666666667,0.04666666666666667,0.089171974522293,0.9533333333333334,0.9533333333333334,,,,0.6710215473175049,0.6513549089431763,0.08250697748055434,0.33364908839265506,0.3486451506614685,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,mdjudge,300,143,300,0,0,1.0,0.0,0.0,300,0,0,300,300,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9984057589372,0.9992445707321167,0.002324488510333325,0.0015942386942333542,0.000755405577365309,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,nemotron,300,143,300,0,0,1.0,0.0,0.0,300,0,73,227,227,0,0,0.24333333333333335,1.0,0.24333333333333335,0.24333333333333335,0.3914209115281501,0.7566666666666667,0.7566666666666667,,,,,,,,,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,qwen3guard_gen,300,143,300,0,0,1.0,0.0,0.0,300,0,130,170,170,0,0,0.43333333333333335,1.0,0.43333333333333335,0.43333333333333335,0.6046511627906976,0.5666666666666667,0.5666666666666667,,,,,,,,,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
1,gold,shieldgemma,300,143,300,0,0,1.0,0.0,0.0,300,0,15,285,285,0,0,0.05,1.0,0.05,0.05,0.09523809523809523,0.95,0.95,,,,0.9595963541666667,0.99609375,0.09147299820276675,0.06177899996439616,0.004608154296875,0.9953875513871511,1.0000004768371582,0.012571214182510723,36.39,31.5,21.694856286632987
