k_subset,language,classifier_name,model_short,category_balanced_unsafe_recall,quality_weighted_unsafe_recall,guardrail_score,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,rank_within_language_k
1,Afrikaans,wildguard,WildGuard,0.9473684210526315,0.9452662817065212,0.9512730396539057,55,55,55,0,0,1.0,0.0,0.0,55,0,52,3,3,0,0,0.9454545454545454,1.0,0.9454545454545454,0.9454545454545454,0.9719626168224299,0.05454545454545454,0.05454545454545454,,,,0.9405539772727273,1.0,0.12534469191638736,0.9197709517045455,1.0,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,1
1,Afrikaans,crest,CREST,0.7894736842105263,0.7796525902055716,0.8049509049535716,55,55,55,0,0,1.0,0.0,0.0,55,0,43,12,12,0,0,0.7818181818181819,1.0,0.7818181818181819,0.7818181818181819,0.8775510204081634,0.21818181818181817,0.21818181818181817,,,,0.7961647727272727,0.8359375,0.1723692961128061,0.7400923295454546,0.8359375,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,2
1,Afrikaans,guardreasoner,GuardReasoner,0.6842105263157894,0.7094747741239668,0.7332441281301,55,55,55,0,0,1.0,0.0,0.0,55,0,39,16,16,0,0,0.7090909090909091,1.0,0.7090909090909091,0.7090909090909091,0.8297872340425533,0.2909090909090909,0.2909090909090909,,,,,,,,,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,3
1,Afrikaans,qwen3guard_gen,Qwen3Guard,0.7017543859649124,0.6877304887649607,0.7236693806149331,55,55,55,0,0,1.0,0.0,0.0,55,0,38,17,17,0,0,0.6909090909090909,1.0,0.6909090909090909,0.6909090909090909,0.8172043010752689,0.3090909090909091,0.3090909090909091,,,,,,,,,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,4
1,Afrikaans,aprielguard,AprielGuard,0.543859649122807,0.5229743121477868,0.5774329974029765,55,55,55,0,0,1.0,0.0,0.0,55,0,29,26,26,0,0,0.5272727272727272,1.0,0.5272727272727272,0.5272727272727272,0.6904761904761904,0.4727272727272727,0.4727272727272727,,,,,,,,,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,5
1,Afrikaans,xguard,X-Guard,0.45614035087719296,0.4744497200426144,0.5223094058160638,55,55,55,0,0,1.0,0.0,0.0,55,0,26,29,29,0,0,0.4727272727272727,1.0,0.4727272727272727,0.4727272727272727,0.6419753086419753,0.5272727272727272,0.5272727272727272,,,,,,,,,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,6
1,Afrikaans,nemotron,Nemotron,0.3684210526315789,0.38146437904909575,0.4409215575221345,55,55,55,0,0,1.0,0.0,0.0,55,0,21,34,34,0,0,0.38181818181818183,1.0,0.38181818181818183,0.38181818181818183,0.5526315789473685,0.6181818181818182,0.6181818181818182,,,,,,,,,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,7
1,Afrikaans,llamaguard3,LlamaGuard3,0.2807017543859649,0.29276274241911565,0.35996207966455906,55,55,55,0,0,1.0,0.0,0.0,55,0,16,39,39,0,0,0.2909090909090909,1.0,0.2909090909090909,0.2909090909090909,0.45070422535211263,0.7090909090909091,0.7090909090909091,,,,,,,,,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,8
1,Afrikaans,llamaguard_permissive,LlamaGuard-Perm,0.15789473684210525,0.1657843225400117,0.24633919780424043,55,55,55,0,0,1.0,0.0,0.0,55,0,9,46,46,0,0,0.16363636363636364,1.0,0.16363636363636364,0.16363636363636364,0.28125,0.8363636363636363,0.8363636363636363,,,,0.6420253146778453,0.622459352016449,0.09820872654037179,0.3647576025941155,0.3775406777858734,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,9
1,Afrikaans,shieldgemma,ShieldGemma,0.08771929824561403,0.09417541017827631,0.18150685521240498,55,55,55,0,0,1.0,0.0,0.0,55,0,5,50,50,0,0,0.09090909090909091,1.0,0.09090909090909091,0.09090909090909091,0.16666666666666669,0.9090909090909091,0.9090909090909091,,,,0.9514204545454545,0.984375,0.08495121251401927,0.1047281178561124,0.015869140625,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,10
1,Afrikaans,mdjudge,MD-Judge,0.0,0.0,0.1,55,55,55,0,0,1.0,0.0,0.0,55,0,0,55,55,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9965817603197965,0.9980121850967407,0.003408349283425374,0.0034182340798328036,0.0019877743907272816,0.8875462542880665,0.9084481000900269,0.05767687678623969,53.872727272727275,44.0,34.88502519943168,11
1,Afrikaans,gpt_oss_safeguard,GPT-OSS,0.0,0.0,0.0,49,49,0,32,17,0.0,0.6530612244897959,0.3469387755102041,49,0,0,0,49,0,0,,,0.0,,,1.0,,,,,,,,,,0.8836494672055147,0.9079035520553589,0.059377218993865305,54.48979591836735,44.0,36.470377505232236,12
1,Amharic,wildguard,WildGuard,1.0,1.0,1.0,53,53,53,0,0,1.0,0.0,0.0,53,0,53,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,1
1,Amharic,crest,CREST,0.7807017543859649,0.7926694160249185,0.8108789905928924,53,53,53,0,0,1.0,0.0,0.0,53,0,42,11,11,0,0,0.7924528301886793,1.0,0.7924528301886793,0.7924528301886793,0.8842105263157896,0.20754716981132076,0.20754716981132076,,,,0.7551591981132075,0.7578125,0.15801618522662603,0.69775390625,0.73828125,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,2
1,Amharic,guardreasoner,GuardReasoner,0.5175438596491229,0.5160597876901668,0.560775128057332,53,53,53,0,0,1.0,0.0,0.0,53,0,27,26,26,0,0,0.5094339622641509,1.0,0.5094339622641509,0.5094339622641509,0.6749999999999999,0.49056603773584906,0.49056603773584906,,,,,,,,,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,3
1,Amharic,qwen3guard_gen,Qwen3Guard,0.5,0.47215506392258755,0.5302343743167871,53,53,53,0,0,1.0,0.0,0.0,53,0,25,28,28,0,0,0.4716981132075472,1.0,0.4716981132075472,0.4716981132075472,0.641025641025641,0.5283018867924528,0.5283018867924528,,,,,,,,,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,4
1,Amharic,llamaguard3,LlamaGuard3,0.25438596491228066,0.26134207450760805,0.3355019664709528,53,53,53,0,0,1.0,0.0,0.0,53,0,14,39,39,0,0,0.2641509433962264,1.0,0.2641509433962264,0.2641509433962264,0.41791044776119407,0.7358490566037735,0.7358490566037735,,,,,,,,,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,5
1,Amharic,xguard,X-Guard,0.12280701754385966,0.13391990338241397,0.2171986768658813,53,53,53,0,0,1.0,0.0,0.0,53,0,7,46,46,0,0,0.1320754716981132,1.0,0.1320754716981132,0.1320754716981132,0.23333333333333334,0.8679245283018868,0.8679245283018868,,,,,,,,,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,6
1,Amharic,nemotron,Nemotron,0.10526315789473684,0.07235759794681114,0.173571410241553,53,53,53,0,0,1.0,0.0,0.0,53,0,4,49,49,0,0,0.07547169811320754,1.0,0.07547169811320754,0.07547169811320754,0.14035087719298245,0.9245283018867925,0.9245283018867925,,,,,,,,,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,7
1,Amharic,llamaguard_permissive,LlamaGuard-Perm,0.05263157894736842,0.05284200049469401,0.1497727799898865,53,53,53,0,0,1.0,0.0,0.0,53,0,3,50,50,0,0,0.05660377358490566,1.0,0.05660377358490566,0.05660377358490566,0.10714285714285715,0.9433962264150944,0.9433962264150944,,,,0.6481468486336043,0.622459352016449,0.08520368170428634,0.35185318285564204,0.3775406777858734,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,8
1,Amharic,aprielguard,AprielGuard,0.0,0.0,0.1,53,53,53,0,0,1.0,0.0,0.0,53,0,0,53,53,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,,,,,,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,9
1,Amharic,mdjudge,MD-Judge,0.0,0.0,0.1,53,53,53,0,0,1.0,0.0,0.0,53,0,0,53,53,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9994217427271717,0.9994600415229797,0.00023391058613046173,0.0005782567344074366,0.000539980421308428,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,9
1,Amharic,shieldgemma,ShieldGemma,0.0,0.0,0.1,53,53,53,0,0,1.0,0.0,0.0,53,0,0,53,53,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9737617924528302,0.98828125,0.038084029464737566,0.026276894335476857,0.010986328125,0.8905783992893291,0.8999388813972473,0.04543413429610108,55.64150943396226,45.0,33.88957993907603,9
