k_subset,model_1,model_2,agreement,n_overlap_prompts
1,wildguard,shieldgemma,0.10091743119266056,1199
1,wildguard,xguard,0.3194328607172644,1199
1,wildguard,crest,0.7756463719766472,1199
1,wildguard,wildguard,1.0,1199
1,wildguard,aprielguard,0.4036697247706422,1199
1,wildguard,guardreasoner,0.6127946127946128,1188
1,wildguard,mdjudge,0.021684737281067557,1199
1,aprielguard,qwen3guard_gen,0.6939115929941618,1199
1,aprielguard,llamaguard3,0.7481234361968306,1199
1,aprielguard,llamaguard_permissive,0.6430358632193495,1199
1,aprielguard,nemotron,0.8056713928273561,1199
1,aprielguard,gpt_oss_safeguard,0.782608695652174,23
1,aprielguard,shieldgemma,0.6522101751459549,1199
1,aprielguard,xguard,0.7489574645537949,1199
1,aprielguard,crest,0.5679733110925771,1199
1,aprielguard,wildguard,0.4036697247706422,1199
1,aprielguard,aprielguard,1.0,1199
1,aprielguard,guardreasoner,0.6363636363636364,1188
1,aprielguard,mdjudge,0.5846538782318599,1199
1,guardreasoner,qwen3guard_gen,0.6944444444444444,1188
1,guardreasoner,llamaguard3,0.5597643097643098,1188
1,guardreasoner,llamaguard_permissive,0.4537037037037037,1188
1,guardreasoner,nemotron,0.6153198653198653,1188
1,guardreasoner,gpt_oss_safeguard,0.7391304347826086,23
1,guardreasoner,shieldgemma,0.4175084175084175,1188
1,guardreasoner,xguard,0.5732323232323232,1188
1,guardreasoner,crest,0.6388888888888888,1188
1,guardreasoner,wildguard,0.6127946127946128,1188
1,guardreasoner,aprielguard,0.6363636363636364,1188
1,guardreasoner,guardreasoner,1.0,1188
1,guardreasoner,mdjudge,0.3712121212121212,1188
1,mdjudge,qwen3guard_gen,0.30692243536280234,1199
1,mdjudge,llamaguard3,0.6213511259382819,1199
1,mdjudge,llamaguard_permissive,0.8632193494578816,1199
1,mdjudge,nemotron,0.5804837364470392,1199
1,mdjudge,gpt_oss_safeguard,0.21739130434782608,23
1,mdjudge,shieldgemma,0.9157631359466222,1199
1,mdjudge,xguard,0.6705587989991659,1199
1,mdjudge,crest,0.20767306088407006,1199
1,mdjudge,wildguard,0.021684737281067557,1199
1,mdjudge,aprielguard,0.5846538782318599,1199
1,mdjudge,guardreasoner,0.3712121212121212,1188
1,mdjudge,mdjudge,1.0,1199
2,qwen3guard_gen,qwen3guard_gen,1.0,1626
2,qwen3guard_gen,llamaguard3,0.6088560885608856,1626
2,qwen3guard_gen,llamaguard_permissive,0.4102091020910209,1626
2,qwen3guard_gen,nemotron,0.7127921279212792,1626
2,qwen3guard_gen,gpt_oss_safeguard,0.711864406779661,59
2,qwen3guard_gen,shieldgemma,0.39100346020761245,289
2,qwen3guard_gen,xguard,0.5982404692082112,341
2,qwen3guard_gen,crest,0.7533825338253383,1626
2,qwen3guard_gen,wildguard,0.511070110701107,1626
2,qwen3guard_gen,aprielguard,0.6918819188191881,1626
2,qwen3guard_gen,guardreasoner,0.6817337461300309,1615
2,qwen3guard_gen,mdjudge,0.2988929889298893,1626
2,llamaguard3,qwen3guard_gen,0.6088560885608856,1626
2,llamaguard3,llamaguard3,1.0,1626
2,llamaguard3,llamaguard_permissive,0.5959409594095941,1626
2,llamaguard3,nemotron,0.7558425584255842,1626
2,llamaguard3,gpt_oss_safeguard,0.6271186440677966,59
2,llamaguard3,shieldgemma,0.6851211072664359,289
2,llamaguard3,xguard,0.39296187683284456,341
2,llamaguard3,crest,0.533210332103321,1626
2,llamaguard3,wildguard,0.4188191881918819,1626
2,llamaguard3,aprielguard,0.7201722017220172,1626
2,llamaguard3,guardreasoner,0.5461300309597523,1615
2,llamaguard3,mdjudge,0.6002460024600246,1626
2,llamaguard_permissive,qwen3guard_gen,0.4102091020910209,1626
2,llamaguard_permissive,llamaguard3,0.5959409594095941,1626
2,llamaguard_permissive,llamaguard_permissive,1.0,1626
2,llamaguard_permissive,nemotron,0.6027060270602707,1626
2,llamaguard_permissive,gpt_oss_safeguard,0.2542372881355932,59
2,llamaguard_permissive,shieldgemma,0.8235294117647058,289
2,llamaguard_permissive,xguard,0.15542521994134897,341
2,llamaguard_permissive,crest,0.3210332103321033,1626
2,llamaguard_permissive,wildguard,0.3025830258302583,1626
2,llamaguard_permissive,aprielguard,0.6297662976629766,1626
2,llamaguard_permissive,guardreasoner,0.4582043343653251,1615
2,llamaguard_permissive,mdjudge,0.8628536285362853,1626
2,nemotron,qwen3guard_gen,0.7127921279212792,1626
2,nemotron,llamaguard3,0.7558425584255842,1626
2,nemotron,llamaguard_permissive,0.6027060270602707,1626
2,nemotron,nemotron,1.0,1626
2,nemotron,gpt_oss_safeguard,0.5423728813559322,59
2,nemotron,shieldgemma,0.5847750865051903,289
2,nemotron,xguard,0.4222873900293255,341
2,nemotron,crest,0.6100861008610086,1626
