,qwen3guard_gen,llamaguard3,llamaguard_permissive,nemotron,gpt_oss_safeguard,shieldgemma,xguard,crest,wildguard,aprielguard,guardreasoner,mdjudge
qwen3guard_gen,1.0,0.6188490408673895,0.4153461217681401,0.7014178482068391,0.782608695652174,0.3878231859883236,0.5996663886572143,0.7539616346955796,0.6747289407839867,0.6939115929941618,0.6944444444444444,0.30692243536280234
llamaguard3,0.6188490408673895,1.0,0.6296914095079232,0.7773144286905754,0.6521739130434783,0.6755629691409508,0.6822351959966639,0.5229357798165137,0.3803169307756464,0.7481234361968306,0.5597643097643098,0.6213511259382819
llamaguard_permissive,0.4153461217681401,0.6296914095079232,1.0,0.6238532110091743,0.30434782608695654,0.8273561301084237,0.6922435362802335,0.3094245204336947,0.1451209341117598,0.6430358632193495,0.4537037037037037,0.8632193494578816
nemotron,0.7014178482068391,0.7773144286905754,0.6238532110091743,1.0,0.6086956521739131,0.6447039199332777,0.7214345287739783,0.5838198498748958,0.41451209341117595,0.8056713928273561,0.6153198653198653,0.5804837364470392
gpt_oss_safeguard,0.782608695652174,0.6521739130434783,0.30434782608695654,0.6086956521739131,1.0,0.21739130434782608,0.6521739130434783,0.6956521739130435,0.6956521739130435,0.782608695652174,0.7391304347826086,0.21739130434782608
shieldgemma,0.3878231859883236,0.6755629691409508,0.8273561301084237,0.6447039199332777,0.21739130434782608,1.0,0.7047539616346956,0.2835696413678065,0.10091743119266056,0.6522101751459549,0.4175084175084175,0.9157631359466222
xguard,0.5996663886572143,0.6822351959966639,0.6922435362802335,0.7214345287739783,0.6521739130434783,0.7047539616346956,1.0,0.49040867389491244,0.3194328607172644,0.7489574645537949,0.5732323232323232,0.6705587989991659
crest,0.7539616346955796,0.5229357798165137,0.3094245204336947,0.5838198498748958,0.6956521739130435,0.2835696413678065,0.49040867389491244,1.0,0.7756463719766472,0.5679733110925771,0.6388888888888888,0.20767306088407006
wildguard,0.6747289407839867,0.3803169307756464,0.1451209341117598,0.41451209341117595,0.6956521739130435,0.10091743119266056,0.3194328607172644,0.7756463719766472,1.0,0.4036697247706422,0.6127946127946128,0.021684737281067557
aprielguard,0.6939115929941618,0.7481234361968306,0.6430358632193495,0.8056713928273561,0.782608695652174,0.6522101751459549,0.7489574645537949,0.5679733110925771,0.4036697247706422,1.0,0.6363636363636364,0.5846538782318599
guardreasoner,0.6944444444444444,0.5597643097643098,0.4537037037037037,0.6153198653198653,0.7391304347826086,0.4175084175084175,0.5732323232323232,0.6388888888888888,0.6127946127946128,0.6363636363636364,1.0,0.3712121212121212
mdjudge,0.30692243536280234,0.6213511259382819,0.8632193494578816,0.5804837364470392,0.21739130434782608,0.9157631359466222,0.6705587989991659,0.20767306088407006,0.021684737281067557,0.5846538782318599,0.3712121212121212,1.0
