k_subset,classifier_name,x,y,pearson,spearman,n
1,wildguard,comet,unsafe_detected_strict,0.0873713943833967,-0.007156867170034143,4081
1,wildguard,combined_score,unsafe_detected_strict,0.0030973238717781886,-0.010586658741887023,5403
1,wildguard,selection_score,unsafe_detected_strict,0.0030973238717781886,-0.010586658741887023,5403
1,wildguard,prompt_len,unsafe_detected_strict,0.033932068541097295,0.029217800756575773,5403
1,wildguard,prompt_char_len,unsafe_detected_strict,0.029447992734898544,0.020724220253211426,5403
1,xguard,f1,unsafe_detected_strict,0.06258682801444974,0.05577998877291478,5403
1,xguard,comet,unsafe_detected_strict,0.05969407964596648,0.02992818825733101,4081
1,xguard,combined_score,unsafe_detected_strict,0.05667643645442507,0.053257057119809006,5403
1,xguard,selection_score,unsafe_detected_strict,0.05667643645442507,0.053257057119809006,5403
1,xguard,prompt_len,unsafe_detected_strict,0.007670707030724793,-0.005547115361879583,5403
1,xguard,prompt_char_len,unsafe_detected_strict,-0.019870324626922724,-0.03868157295796849,5403
2,aprielguard,f1,unsafe_detected_strict,0.04599404703824624,0.04176402889227046,10419
2,aprielguard,comet,unsafe_detected_strict,0.07198972824758613,0.05224540816675392,7894
2,aprielguard,combined_score,unsafe_detected_strict,0.04660680420258084,0.04295472086533428,10419
2,aprielguard,selection_score,unsafe_detected_strict,0.04660680420258084,0.04295472086533428,10419
2,aprielguard,prompt_len,unsafe_detected_strict,0.11115317700538768,0.0868514587029201,10419
2,aprielguard,prompt_char_len,unsafe_detected_strict,0.09268437999249671,0.07780877570838764,10419
2,crest,f1,unsafe_detected_strict,0.11122056436978939,0.0973411743555461,10418
2,crest,comet,unsafe_detected_strict,0.026101677042969007,0.0025398361061202946,7894
2,crest,combined_score,unsafe_detected_strict,0.07774127308386113,0.06946736540282054,10418
2,crest,selection_score,unsafe_detected_strict,0.07774127308386113,0.06946736540282054,10418
2,crest,prompt_len,unsafe_detected_strict,0.02589288198802152,0.04391196863065254,10418
2,crest,prompt_char_len,unsafe_detected_strict,0.02798178313866161,0.05148025672158755,10418
2,gpt_oss_safeguard,f1,unsafe_detected_strict,0.032935161517135166,0.03628170586069153,4128
2,gpt_oss_safeguard,comet,unsafe_detected_strict,-0.03457558960357755,-0.00675458949642039,3105
2,gpt_oss_safeguard,combined_score,unsafe_detected_strict,0.007643982008486102,0.016840392875150004,4128
2,gpt_oss_safeguard,selection_score,unsafe_detected_strict,0.007643982008486102,0.016840392875150004,4128
2,gpt_oss_safeguard,prompt_len,unsafe_detected_strict,0.04430354834966622,9.806937308305292e-05,4128
2,gpt_oss_safeguard,prompt_char_len,unsafe_detected_strict,0.04753010058600796,0.012363547411836985,4128
2,guardreasoner,f1,unsafe_detected_strict,0.044563475884124314,0.050879868744306986,10419
2,guardreasoner,comet,unsafe_detected_strict,0.06396911154464033,0.0509095656192434,7894
