,qwen3guard_gen,llamaguard3,llamaguard_permissive,nemotron,wildguard
qwen3guard_gen,1.0,0.6842105263157895,0.40925828511309836,0.7117306680694372,0.6747496046389035
llamaguard3,0.6842105263157895,1.0,0.7105263157894737,0.7631578947368421,0.4473684210526316
llamaguard_permissive,0.40925828511309836,0.7105263157894737,1.0,0.6133613887427669,0.1639430680021086
nemotron,0.7117306680694372,0.7631578947368421,0.6133613887427669,1.0,0.43911439114391143
wildguard,0.6747496046389035,0.4473684210526316,0.1639430680021086,0.43911439114391143,1.0
