k_subset,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,common_prompt_count_for_k,n_models_compared_for_k
1,aprielguard,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,2190,3145,3145,0,0,0.4104967197750703,1.0,0.4104967197750703,0.4104967197750703,0.5820598006644517,0.5895032802249297,0.5895032802249297,,,,,,,,,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,crest,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,3923,1412,1412,0,0,0.7353327085285848,1.0,0.7353327085285848,0.7353327085285848,0.8474832577230503,0.26466729147141516,0.26466729147141516,,,,0.7863255623242736,0.80859375,0.15546791819291275,0.6840684399162371,0.75,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,gpt_oss_safeguard,4832,1134,29,3430,1373,0.006001655629139073,0.7098509933774835,0.28414735099337746,4832,0,24,5,4808,0,0,0.8275862068965517,1.0,0.004966887417218543,0.8275862068965517,0.9056603773584906,0.9950331125827815,0.1724137931034483,,,,,,,,,0.88638524392262,0.8986988067626953,0.06670350126282942,55.500413907284766,47.0,32.971663813162266,1134,12
1,guardreasoner,5335,1134,5250,0,85,0.9840674789128397,0.0,0.015932521087160263,5335,0,3298,1952,2037,0,0,0.6281904761904762,1.0,0.6181818181818182,0.6281904761904762,0.7716424894712214,0.38181818181818183,0.3718095238095238,,,,,,,,,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,llamaguard3,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,1744,3591,3591,0,0,0.32689784442361763,1.0,0.32689784442361763,0.32689784442361763,0.4927249611527052,0.6731021555763824,0.6731021555763824,,,,,,,,,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,llamaguard_permissive,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,614,4721,4721,0,0,0.11508903467666354,1.0,0.11508903467666354,0.11508903467666354,0.20642124726844846,0.8849109653233365,0.8849109653233365,,,,0.6579399813752143,0.6513549089431763,0.09266146748353048,0.35317412892037053,0.3486451506614685,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,mdjudge,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,0,5335,5335,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.997756704797003,0.9991638660430908,0.003105355128173119,0.0022432923956216973,0.0008360903011634946,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,nemotron,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,2050,3285,3285,0,0,0.38425492033739456,1.0,0.38425492033739456,0.38425492033739456,0.5551794177386594,0.6157450796626054,0.6157450796626054,,,,,,,,,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,qwen3guard_gen,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,3507,1828,1828,0,0,0.6573570759137769,1.0,0.6573570759137769,0.6573570759137769,0.7932594435648044,0.34264292408622304,0.34264292408622304,,,,,,,,,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,shieldgemma,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,444,4891,4891,0,0,0.08322399250234301,1.0,0.08322399250234301,0.08322399250234301,0.153659802734037,0.916776007497657,0.916776007497657,,,,0.9395721063730085,0.9921875,0.10885194828375219,0.09947588365549447,0.00970458984375,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
