k,Method,N,Unsafe Recall (\%),Strict Evasion (\%),Coverage (\%),Error (\%),Unknown (\%),Rel. Evasion Reduction (\%)
1,Best single global,1836,96.78649237472767,3.213507625272331,100.0,0.0,0.0,0.0
1,Language top-3 majority,1836,87.58169934640523,12.418300653594772,100.0,0.0,0.0,-286.4406779661017
1,Top-1 language router,1836,97.27668845315904,2.7233115468409586,100.0,0.0,0.0,15.254237288135592
1,Resource-tier top-3 OR,1836,99.94553376906318,0.054466230936819175,100.0,0.0,0.0,98.3050847457627
1,Global top-3 OR,1836,99.89106753812636,0.10893246187363835,100.0,0.0,0.0,96.61016949152543
1,LinguaGuard top-3 language OR,1836,99.89106753812636,0.10893246187363835,100.0,0.0,0.0,96.61016949152543
1,All-model OR upper bound,1836,100.0,0.0,100.0,0.0,0.0,100.0
2,Best single global,3362,75.31231409875075,24.687685901249257,99.97025580011898,0.0,0.0297441998810232,0.0
2,Language top-3 majority,3362,84.05710886377157,15.942891136228434,100.0,0.0,0.0,35.42168674698796
2,Top-1 language router,3362,93.39678762641284,6.60321237358715,99.85127900059489,0.0,0.148720999405116,73.25301204819277
2,Resource-tier top-3 OR,3362,96.31171921475313,3.6882807852468766,99.97025580011898,0.0,0.0297441998810232,85.06024096385542
2,Global top-3 OR,3362,96.87685901249256,3.123140987507436,100.0,0.0,0.0,87.34939759036145
2,LinguaGuard top-3 language OR,3362,98.18560380725758,1.8143961927424153,99.97025580011898,0.0,0.0297441998810232,92.65060240963855
2,All-model OR upper bound,3362,98.89946460440214,1.1005353955978583,98.92920880428316,1.0707911957168352,0.0,95.5421686746988
3,Best single global,4841,95.10431728981615,4.895682710183847,99.40095021689733,0.0,0.5990497831026648,0.0
3,Language top-3 majority,4841,65.0692005783929,34.930799421607105,100.0,0.0,0.0,-613.5021097046414
3,Top-1 language router,4841,96.77752530468912,3.2224746953108863,99.42160710596984,0.0,0.578392894030159,34.177215189873415
3,Resource-tier top-3 OR,4841,98.80190043379467,1.1980995662053295,99.79343110927495,0.0,0.2065688907250568,75.52742616033755
3,Global top-3 OR,4841,98.80190043379467,1.1980995662053295,99.79343110927495,0.0,0.2065688907250568,75.52742616033755
3,LinguaGuard top-3 language OR,4841,98.80190043379467,1.1980995662053295,99.79343110927495,0.0,0.2065688907250568,75.52742616033755
3,All-model OR upper bound,4841,98.9051848791572,1.094815120842801,98.9258417682297,1.0741582317702953,0.0,77.63713080168776
