k_subset,method,method_label,n_total,n_gold_unsafe,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,tp_unsafe,fn_unsafe_strict,unsafe_recall_strict,evasion_rate_strict,absolute_evasion_reduction_vs_best_single,relative_evasion_reduction_vs_best_single
1,best_single_global,Best single global,1836,1836,1836,0,0,1.0,0.0,0.0,1777,59,0.9678649237472767,0.03213507625272331,0.0,0.0
1,language_top3_majority,Language top-3 majority,1836,1836,1836,0,0,1.0,0.0,0.0,1608,228,0.8758169934640523,0.12418300653594772,-0.0920479302832244,-2.864406779661017
1,top1_language_router,Top-1 language router,1836,1836,1836,0,0,1.0,0.0,0.0,1786,50,0.9727668845315904,0.027233115468409588,0.004901960784313725,0.15254237288135591
1,resource_tier_top3_or,Resource-tier top-3 OR,1836,1836,1836,0,0,1.0,0.0,0.0,1835,1,0.9994553376906318,0.0005446623093681918,0.03159041394335512,0.983050847457627
1,global_top3_or,Global top-3 OR,1836,1836,1836,0,0,1.0,0.0,0.0,1834,2,0.9989106753812637,0.0010893246187363835,0.03104575163398693,0.9661016949152542
1,linguaguard_top3_language_or,LinguaGuard top-3 language OR,1836,1836,1836,0,0,1.0,0.0,0.0,1834,2,0.9989106753812637,0.0010893246187363835,0.03104575163398693,0.9661016949152542
1,oracle_or_upper_bound,All-model OR upper bound,1836,1836,1836,0,0,1.0,0.0,0.0,1836,0,1.0,0.0,0.03213507625272331,1.0
2,best_single_global,Best single global,3362,3362,3361,0,1,0.9997025580011898,0.0,0.000297441998810232,2532,830,0.7531231409875074,0.24687685901249257,0.0,0.0
2,language_top3_majority,Language top-3 majority,3362,3362,3362,0,0,1.0,0.0,0.0,2826,536,0.8405710886377157,0.15942891136228435,0.08744794765020822,0.35421686746987957
2,top1_language_router,Top-1 language router,3362,3362,3357,0,5,0.9985127900059488,0.0,0.00148720999405116,3140,222,0.9339678762641285,0.0660321237358715,0.18084473527662107,0.7325301204819278
2,resource_tier_top3_or,Resource-tier top-3 OR,3362,3362,3361,0,1,0.9997025580011898,0.0,0.000297441998810232,3238,124,0.9631171921475312,0.036882807852468766,0.2099940511600238,0.8506024096385542
2,global_top3_or,Global top-3 OR,3362,3362,3362,0,0,1.0,0.0,0.0,3257,105,0.9687685901249257,0.031231409875074362,0.2156454491374182,0.8734939759036144
2,linguaguard_top3_language_or,LinguaGuard top-3 language OR,3362,3362,3361,0,1,0.9997025580011898,0.0,0.000297441998810232,3301,61,0.9818560380725758,0.01814396192742415,0.22873289708506842,0.9265060240963855
2,oracle_or_upper_bound,All-model OR upper bound,3362,3362,3326,36,0,0.9892920880428316,0.010707911957168352,0.0,3325,37,0.9889946460440214,0.011005353955978583,0.235871505056514,0.955421686746988
3,best_single_global,Best single global,4841,4841,4812,0,29,0.9940095021689733,0.0,0.005990497831026648,4604,237,0.9510431728981615,0.04895682710183846,0.0,0.0
3,language_top3_majority,Language top-3 majority,4841,4841,4841,0,0,1.0,0.0,0.0,3150,1691,0.6506920057839289,0.34930799421607106,-0.3003511671142326,-6.135021097046414
3,top1_language_router,Top-1 language router,4841,4841,4813,0,28,0.9942160710596984,0.0,0.005783928940301591,4685,156,0.9677752530468912,0.03222474695310886,0.0167320801487296,0.34177215189873417
3,resource_tier_top3_or,Resource-tier top-3 OR,4841,4841,4831,0,10,0.9979343110927494,0.0,0.002065688907250568,4783,58,0.9880190043379468,0.011980995662053295,0.03697583143978517,0.7552742616033755
3,global_top3_or,Global top-3 OR,4841,4841,4831,0,10,0.9979343110927494,0.0,0.002065688907250568,4783,58,0.9880190043379468,0.011980995662053295,0.03697583143978517,0.7552742616033755
3,linguaguard_top3_language_or,LinguaGuard top-3 language OR,4841,4841,4831,0,10,0.9979343110927494,0.0,0.002065688907250568,4783,58,0.9880190043379468,0.011980995662053295,0.03697583143978517,0.7552742616033755
3,oracle_or_upper_bound,All-model OR upper bound,4841,4841,4789,52,0,0.989258417682297,0.010741582317702954,0.0,4788,53,0.989051848791572,0.01094815120842801,0.03800867589341045,0.7763713080168776
