k_subset,language,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,tp_unsafe,unsafe_recall_strict,unsafe_recall_evaluable,evasion_rate_strict,accuracy_evaluable,category_balanced_unsafe_recall,quality_weighted_unsafe_recall,guardrail_score,model_short,rank_within_language,is_reliable_cell
1,Bengali,crest,35,35,35,0,0,1.0,0.0,0.0,35,30,0.8571428571428571,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.892156862745098,0.8584343718579216,0.878560524020526,CREST,2,True
1,Bengali,guardreasoner,35,35,35,0,0,1.0,0.0,0.0,35,27,0.7714285714285715,0.7714285714285715,0.22857142857142854,0.7714285714285715,0.7941176470588235,0.7730240087009946,0.798983073139007,GuardReasoner,3,True
1,Bosnian,wildguard,36,36,36,0,0,1.0,0.0,0.0,36,36,1.0,1.0,0.0,1.0,1.0,1.0,1.0,WildGuard,1,True
1,Bosnian,guardreasoner,36,36,35,0,1,0.9722222222222222,0.0,0.027777777777777776,36,28,0.7777777777777778,0.8,0.2222222222222222,0.8,0.7631578947368421,0.7832933138921763,0.7931831325588083,GuardReasoner,2,True
1,Bosnian,qwen3guard_gen,36,36,36,0,0,1.0,0.0,0.0,36,26,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.7192982456140351,0.7270906928358598,0.7499020517397263,Qwen3Guard,3,True
1,Bulgarian,wildguard,33,33,33,0,0,1.0,0.0,0.0,33,33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,WildGuard,1,True
1,Bulgarian,guardreasoner,33,33,33,0,0,1.0,0.0,0.0,33,27,0.8181818181818182,0.8181818181818182,0.18181818181818177,0.8181818181818182,0.8611111111111112,0.824527310996607,0.8455840442309739,GuardReasoner,2,True
1,Bulgarian,qwen3guard_gen,33,33,33,0,0,1.0,0.0,0.0,33,25,0.7575757575757576,0.7575757575757576,0.24242424242424243,0.7575757575757576,0.787037037037037,0.7598502212933992,0.7879378840822018,Qwen3Guard,3,True
1,Burmese,wildguard,36,36,36,0,0,1.0,0.0,0.0,36,36,1.0,1.0,0.0,1.0,1.0,1.0,1.0,WildGuard,1,True
1,Burmese,crest,36,36,36,0,0,1.0,0.0,0.0,36,32,0.8888888888888888,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.8055555555555556,0.888858214882941,0.8833302659327384,CREST,2,True
1,Burmese,qwen3guard_gen,36,36,36,0,0,1.0,0.0,0.0,36,31,0.8611111111111112,0.8611111111111112,0.13888888888888884,0.8611111111111112,0.824074074074074,0.8606080347463716,0.8675422849561186,Qwen3Guard,3,True
1,Catalan,wildguard,39,39,39,0,0,1.0,0.0,0.0,39,35,0.8974358974358975,0.8974358974358975,0.10256410256410253,0.8974358974358975,0.8771929824561402,0.8983725322869186,0.9037373881814585,WildGuard,1,True
1,Catalan,guardreasoner,39,39,39,0,0,1.0,0.0,0.0,39,30,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.7692307692307693,0.7719298245614035,0.7690995614653114,0.7928343825972735,GuardReasoner,2,True
1,Catalan,qwen3guard_gen,39,39,39,0,0,1.0,0.0,0.0,39,29,0.7435897435897436,0.7435897435897436,0.2564102564102564,0.7435897435897436,0.7192982456140351,0.7468230951022613,0.7646958047868794,Qwen3Guard,3,True
1,Cebuano,crest,47,47,47,0,0,1.0,0.0,0.0,47,39,0.8297872340425532,0.8297872340425532,0.17021276595744683,0.8297872340425532,0.824074074074074,0.8216672850760737,0.8448538837479541,CREST,1,True
1,Cebuano,qwen3guard_gen,47,47,47,0,0,1.0,0.0,0.0,47,38,0.8085106382978723,0.8085106382978723,0.19148936170212771,0.8085106382978723,0.8009259259259259,0.8126337102589914,0.8265549391898078,Qwen3Guard,2,True
1,Cebuano,wildguard,47,47,47,0,0,1.0,0.0,0.0,47,35,0.7446808510638298,0.7446808510638298,0.25531914893617025,0.7446808510638298,0.7592592592592592,0.7407902843472461,0.7727393909248743,WildGuard,3,True
1,Chinese (Simplified),wildguard,37,37,37,0,0,1.0,0.0,0.0,37,37,1.0,1.0,0.0,1.0,1.0,1.0,1.0,WildGuard,1,True
