k_subset,prompts,mean_chars,median_chars,p95_chars,max_chars,mean_words,median_words,p95_words,max_words,mean_recorded_prompt_len,prompt_len_mismatch_rate
1,5403,59.47103461040163,51.0,127.0,319,9.915417360725522,8.0,22.0,65,55.52452341291875,0.9592818804367944
2,10419,61.18379882906229,52.0,135.0,332,10.217007390344563,9.0,23.0,69,57.24263365006239,0.9599769651598042
3,15085,62.18687437852171,52.0,139.0,621,10.402585349685118,9.0,24.0,104,58.31017567119655,0.9606231355651309
