language,1,2,3
Afrikaans,1.0179529890801406,1.0365678088108263,1.0407689758037786
Amharic,0.9809365167499537,0.9597850081581726,0.967848856479947
Arabic,1.0179529890801406,1.017372108647663,1.0076234670202187
Armenian,1.036461225245234,1.017372108647663,1.0208816705336428
Assamese,0.9624282805848603,0.9693828582397543,0.9877361617500829
Asturian,1.314084767721636,1.33410116133986,1.319191249585681
Azerbaijani,0.9994447529150472,1.0269699587292447,1.0275107722903547
Belarusian,0.9994447529150472,0.9885785584029176,0.9877361617500829
Bengali,0.9809365167499537,0.9885785584029176,1.0076234670202187
Bosnian,1.0179529890801406,0.9981764084844994,1.0009943652635067
Bulgarian,0.9994447529150472,1.017372108647663,1.0341398740470666
Burmese,0.9624282805848603,0.9501871580765908,0.9413324494530991
Catalan,1.0179529890801406,1.0365678088108263,1.0473980775604905
Cebuano,1.2955765315565426,1.3053076110951145,1.2860457408021213
Chinese (Simplified),0.9439200444197668,0.9501871580765908,0.9612197547232351
Chinese (Traditional),0.8883953359244865,0.873404357423937,0.8485250248591316
Croatian,1.0179529890801406,1.017372108647663,1.0275107722903547
Czech,1.0179529890801406,1.0269699587292447,1.0275107722903547
Danish,1.0179529890801406,1.0365678088108263,1.0407689758037786
Dutch,0.9994447529150472,1.0077742585660812,1.0076234670202187
English,0.4627059041273367,0.4319032536711776,0.4242625124295658
Estonian,1.0179529890801406,1.017372108647663,1.0208816705336428
Filipino (Tagalog),1.0179529890801406,1.0365678088108263,1.0407689758037786
Finnish,0.9994447529150472,0.9885785584029176,1.0009943652635067
French,0.9994447529150472,1.017372108647663,1.0407689758037786
Fula,1.0179529890801406,0.9597850081581726,0.9612197547232351
Galician,1.0179529890801406,1.0461656588924082,1.0540271793172025
Ganda,1.1660188784008885,1.1613398598713889,1.126947298641034
Georgian,0.8698870997593928,0.806219406852865,0.768975803778588
German,0.9994447529150472,1.017372108647663,1.0275107722903547
Greek,1.0179529890801406,1.0365678088108263,1.0407689758037786
Gujarati,1.036461225245234,1.0461656588924082,1.0407689758037786
Hausa,0.6848047381084582,0.6526538055475573,0.6297646668876367
Hebrew,1.0179529890801406,1.0269699587292447,1.0208816705336428
Hindi,1.0179529890801406,1.0365678088108263,1.0341398740470666
Hungarian,1.0179529890801406,1.0077742585660812,1.0009943652635067
Icelandic,0.9624282805848603,0.9597850081581726,0.9612197547232351
Igbo,1.2030353507310754,1.2093291102792976,1.2197547232350017
Indonesian,1.0179529890801406,1.0461656588924082,1.0606562810739144
Irish,1.0179529890801406,1.0269699587292447,1.0142525687769308
Italian,1.0179529890801406,1.0269699587292447,1.0275107722903547
Japanese,0.90690357208958,0.8926000575871005,0.8882996353994035
Javanese,0.9809365167499537,0.9789807083213361,0.974477958236659
Kannada,1.0179529890801406,1.0365678088108263,1.0341398740470666
Kazakh,0.9624282805848603,0.9597850081581726,0.967848856479947
Khmer,0.9994447529150472,0.9789807083213361,0.974477958236659
Korean,0.9439200444197668,0.9309914579134274,0.9347033476963871
Kyrgyz,0.9439200444197668,0.9309914579134274,0.9148160424262513
Lao,0.9624282805848603,0.9693828582397543,0.9877361617500829
Latvian,0.9809365167499537,0.9885785584029176,0.9877361617500829
Lingala,1.2215435868961688,1.1997312601977157,1.1733510109380179
Lithuanian,0.9994447529150472,0.9885785584029176,0.9943652635067949
Luo,1.147510642235795,1.0653613590555715,1.0407689758037786
Luxembourgish,1.314084767721636,1.33410116133986,1.312562147828969
Macedonian,0.9809365167499537,0.9981764084844994,1.0076234670202187
Malay,1.0179529890801406,1.0365678088108263,1.0275107722903547
Malayalam,0.9809365167499537,0.9885785584029176,0.9943652635067949
Maltese,1.314084767721636,1.3245033112582782,1.319191249585681
Maori,1.2400518230612623,1.2285248104424609,1.2263838249917136
Marathi,0.9809365167499537,0.9693828582397543,0.967848856479947
Mongolian,0.90690357208958,0.9117957577502639,0.9214451441829632
Nepali,1.0549694614103275,1.0461656588924082,1.0473980775604905
Northern Sotho,1.2030353507310754,1.2093291102792976,1.2131256214782897
Norwegian,0.9809365167499537,0.9885785584029176,1.0009943652635067
Nyanja,1.2030353507310754,1.1997312601977157,1.2197547232350017
Occitan,1.3325930038867295,1.2861119109319512,1.2661584355319853
Oriya (Odia),1.2770682953914492,1.2477205106056244,1.2529002320185616
Oromo,0.518230612622617,0.48949035416066805,0.49055352999668544
Pashto,0.9994447529150472,1.0077742585660812,1.0076234670202187
Persian,0.9994447529150472,1.0077742585660812,1.0275107722903547
Polish,0.9994447529150472,1.0077742585660812,1.0009943652635067
Portuguese,1.0179529890801406,1.0365678088108263,1.0407689758037786
Punjabi,1.0179529890801406,1.0365678088108263,1.0275107722903547
Romanian,0.9994447529150472,1.0269699587292447,1.0407689758037786
Russian,0.9994447529150472,1.0077742585660812,1.0076234670202187
Serbian,0.9994447529150472,1.017372108647663,1.0473980775604905
Shona,1.2030353507310754,1.2189269603608792,1.2197547232350017
Sindhi,0.9809365167499537,0.9789807083213361,0.9811070599933709
Slovak,1.0179529890801406,1.0365678088108263,1.0407689758037786
Slovenian,0.9994447529150472,0.9789807083213361,0.974477958236659
Somali,0.7218212104386451,0.7102409060370477,0.7159429897248923
Sorani Kurdish,1.2955765315565426,1.2669162107687877,1.2396420285051375
Spanish,1.0179529890801406,1.0365678088108263,1.0341398740470666
Swahili,0.9809365167499537,0.9981764084844994,1.0142525687769308
Swedish,1.0179529890801406,1.0365678088108263,1.0473980775604905
Tajik,1.2585600592263557,1.257318360687206,1.2462711302618497
Tamil,1.0179529890801406,1.0077742585660812,1.0009943652635067
Telugu,0.9624282805848603,0.9693828582397543,0.9811070599933709
Thai,0.9439200444197668,0.9597850081581726,0.974477958236659
Turkish,0.9994447529150472,1.0077742585660812,1.0208816705336428
Ukrainian,1.0179529890801406,1.0365678088108263,1.0473980775604905
Urdu,0.9994447529150472,1.017372108647663,1.0142525687769308
Vietnamese,1.0179529890801406,1.0077742585660812,1.0009943652635067
Welsh,0.9994447529150472,1.0269699587292447,1.0407689758037786
Wolof,1.0179529890801406,0.9981764084844994,0.9811070599933709
Xhosa,0.6107717934480844,0.5758710048949035,0.576731852833941
Yoruba,1.1660188784008885,1.151742009789807,1.126947298641034
Zulu,1.2770682953914492,1.2765140608503696,1.2727875372886974
