k_subset,language_resource_tier,prompts,unique_languages,mean_chars,median_chars,p95_chars,mean_words,median_words
1,high,606,12,47.58910891089109,39.0,112.75,8.054455445544555,7.0
1,low,3658,65,61.79250956806998,53.0,130.0,10.15882996172772,9.0
1,medium,1139,21,58.33713784021071,50.0,126.09999999999991,10.12379280070237,9.0
2,high,1171,12,48.272416737830916,39.0,116.0,8.17933390264731,7.0
2,low,7024,65,63.945187927107064,54.0,138.0,10.535592255125284,9.0
2,medium,2224,21,59.260791366906474,50.0,133.0,10.283723021582734,9.0
3,high,1696,12,48.884433962264154,40.0,119.0,8.308372641509434,7.0
3,low,10149,65,65.01517390875948,54.0,144.0,10.728446152330278,9.0
3,medium,3240,21,60.29074074074074,50.5,134.0,10.478086419753087,9.0
