k_subset,prompts,unique_root_prompts,unique_languages,unique_categories,unique_language_resource_tiers,unique_labels,unsafe_rate,failure_rate,severe_failure_rate,avg_combined_score,avg_prompt_chars
1,5403,1199,98,19,3,1,1.0,0.2798445308162132,0.014806588932074774,0.8867642385097382,59.47103461040163
2,10419,1626,98,19,3,1,1.0,0.2907188789711105,0.026778001727613014,0.8810645340292808,61.18379882906229
3,15085,1901,98,19,3,1,1.0,0.29923765329797813,0.03699038780245277,0.8764475515812393,62.18687437852171
