language,total_prompts,language_resource_tier,k_values_present,unique_roots,unique_categories,avg_combined_score,failure_rate,severe_failure_rate
Kazakh,298,low,3,146,19,0.8800938198930465,0.3624161073825503,0.04697986577181208
Icelandic,297,low,3,145,19,0.8735291261464257,0.21548821548821548,0.04040404040404041
Chinese (Simplified),295,high,3,145,19,0.8702130601567737,0.3220338983050847,0.04745762711864407
Burmese,293,low,3,142,19,0.8815103342101842,0.36860068259385664,0.017064846416382253
Korean,289,high,3,141,19,0.8795929220102238,0.38408304498269896,0.01384083044982699
Kyrgyz,286,low,3,138,19,0.8793254323772617,0.3881118881118881,0.038461538461538464
Mongolian,283,low,3,139,19,0.8763158840551815,0.3674911660777385,0.03180212014134275
Japanese,276,high,3,134,19,0.8755405120875525,0.39492753623188404,0.050724637681159424
Chinese (Traditional),267,high,3,128,19,0.8541544213723601,0.4157303370786517,0.08239700374531835
Georgian,247,low,3,116,19,0.8151328193875942,0.3481781376518219,0.08502024291497975
Somali,221,low,3,108,19,0.8336150951649808,0.15384615384615385,0.04524886877828054
Hausa,200,low,3,95,19,0.8283776890486478,0.05,0.02
Xhosa,180,low,3,87,19,0.8183288267917104,0.05,0.005555555555555556
Oromo,153,low,3,74,19,0.7757969998261508,0.1503267973856209,0.06535947712418301
English,134,high,3,64,19,0.7454337687857115,0.007462686567164179,0.0
